foodName,proteinAmt,calorieAmt,cost
Roasted Grain Medley,7,203,0.99
Spicy Tomato Crunch,18,269,0.99
Smoked Tomato Bites,9,307,0.99
Organic Protein Delight,30,589,0.99
Tangy Vanilla Soup,22,186,0.99
Hearty Honey Wafers,36,304,0.99
Organic Berry Nuggets,12,231,0.99
Golden Chili Stew,12,356,0.99
Tangy Chicken Blend,6,331,0.99
Fresh Cocoa Crackers,24,381,0.99
Hearty Fruit Crumbles,11,189,0.99
Savory Honey Pasta,12,102,0.99
Rustic Maple Medley,22,530,0.99
Savory Chili Nuggets,30,411,0.99
Wholesome Nut Protein Bar,6,480,0.99
Glazed Beef Crumbles,36,403,0.99
Herbal Honey Soup,20,80,0.99
Golden Tomato Chunks,28,566,0.99
Golden Veggie Crackers,4,272,0.99
Organic Oat Protein Bar,39,250,0.99
Zesty Oat Protein Bar,17,460,0.99
Wholesome Peanut Bites,23,263,0.99
Spicy Garden Crackers,20,474,0.99
Tangy Veggie Slices,20,471,0.99
Smoked Fruit Strips,3,169,0.99
Wild Almond Wafers,35,569,0.99
Tangy Fruit Crunch,10,245,0.99
Hearty Vanilla Protein Bar,34,351,0.99
Roasted Honey Pasta,16,348,0.99
Rustic Nut Stew,30,156,0.99
Sweet Maple Stew,11,66,0.99
Zesty Oat Protein Bar,24,232,0.99
Tangy Protein Pasta,31,468,0.99
Spicy Maple Crunch,33,125,0.99
Fresh Grain Crunch,28,178,0.99
Herbal Maple Slices,16,519,0.99
Smoked Herb Nuggets,32,504,0.99
Glazed Chili Crackers,31,455,0.99
Golden Honey Blend,6,426,0.99
Tangy Oat Bites,40,332,0.99
Organic Nut Pasta,6,325,0.99
Golden Berry Nuggets,23,487,0.99
Crispy Herb Medley,10,105,0.99
Smoked Fruit Crunch,33,460,0.99
Glazed Protein Granola,28,501,0.99
Fresh Pepper Medley,6,592,0.99
Herbal Almond Rice,19,273,0.99
Wholesome Grain Crunch,22,132,0.99
Savory Cocoa Rice,14,330,0.99
Zesty Peanut Crackers,20,375,0.99
Premium Protein Soup,5,564,0.99
Classic Veggie Granola,12,348,0.99
Roasted Peanut Soup,13,243,0.99
Herbal Pepper Strips,27,422,0.99
Wild Cocoa Wafers,33,527,0.99
Wholesome Berry Protein Bar,24,125,0.99
Roasted Beef Crackers,1,395,0.99
Wholesome Tomato Medley,28,72,0.99
Wholesome Honey Wafers,38,98,0.99
Sweet Nut Medley,16,498,0.99
Organic Almond Crunch,20,365,0.99
Tangy Chicken Bites,19,525,0.99
Savory Grain Mix,28,391,0.99
Wild Beef Rice,15,155,0.99
Classic Veggie Granola,31,336,0.99
Hearty Almond Chunks,24,359,0.99
Premium Nut Slices,26,284,0.99
Spicy Herb Protein Bar,28,185,0.99
Zesty Berry Slices,10,374,0.99
Fresh Grain Blend,5,207,0.99
Herbal Chicken Bites,29,256,0.99
Sweet Tomato Delight,17,402,0.99
Golden Protein Energy Mix,15,216,0.99
Hearty Tomato Medley,22,352,0.99
Wild Almond Slices,12,591,0.99
Sweet Veggie Bites,17,540,0.99
Golden Grain Bites,16,187,0.99
Organic Tomato Protein Bar,21,312,0.99
Wholesome Oat Medley,18,438,0.99
Golden Oat Medley,34,424,0.99
Crispy Herb Soup,21,370,0.99
Roasted Vanilla Crumbles,39,570,0.99
Spicy Beef Granola,5,198,0.99
Classic Garden Crumbles,4,559,0.99
Herbal Beef Crumbles,33,273,0.99
Classic Beef Pasta,9,551,0.99
Tangy Tomato Bites,4,319,0.99
Hearty Fruit Medley,8,304,0.99
Hearty Garden Delight,17,113,0.99
Spicy Vanilla Blend,35,336,0.99
Hearty Nut Slices,13,242,0.99
Glazed Beef Granola,13,53,0.99
Wholesome Berry Nuggets,26,503,0.99
Smoked Grain Slices,30,579,0.99
Roasted Grain Strips,8,135,0.99
Roasted Oat Strips,10,509,0.99
Hearty Vanilla Rice,36,398,0.99
Golden Peanut Rice,32,153,0.99
Fusion Garden Crumbles,33,328,0.99
Sweet Chili Nuggets,11,315,0.99
Spicy Maple Strips,30,249,0.99
Wholesome Peanut Mix,40,358,0.99
Smoked Almond Mix,25,485,0.99
Savory Nut Energy Mix,11,560,0.99
Smoked Fruit Granola,7,72,0.99
Fusion Nut Crunch,33,241,0.99
Fresh Pepper Soup,11,246,0.99
Wild Garden Chunks,31,549,0.99
Premium Peanut Rice,3,172,0.99
Classic Berry Crumbles,39,215,0.99
Wholesome Protein Chunks,31,182,0.99
Wild Nut Mix,38,420,0.99
Herbal Grain Strips,26,279,0.99
Crispy Fruit Strips,9,347,0.99
Classic Pepper Pasta,5,224,0.99
Spicy Beef Delight,24,486,0.99
Classic Vanilla Crackers,28,373,0.99
Savory Tomato Nuggets,25,72,0.99
Roasted Fruit Slices,5,531,0.99
Savory Protein Chunks,10,487,0.99
Rustic Oat Crackers,25,547,0.99
Classic Nut Stew,8,520,0.99
Zesty Vanilla Delight,10,442,0.99
Savory Garden Nuggets,23,537,0.99
Wholesome Berry Crunch,26,374,0.99
Organic Cocoa Nuggets,35,70,0.99
Glazed Protein Bites,34,51,0.99
Wholesome Beef Energy Mix,37,493,0.99
Spicy Oat Medley,9,424,0.99
Rustic Chili Slices,13,306,0.99
Zesty Honey Medley,29,117,0.99
Hearty Pepper Stew,8,132,0.99
Fusion Fruit Wafers,18,196,0.99
Crispy Pepper Crackers,13,512,0.99
Premium Peanut Chunks,4,80,0.99
Savory Grain Nuggets,40,457,0.99
Wholesome Grain Stew,34,551,0.99
Wholesome Berry Delight,3,65,0.99
Fresh Vanilla Soup,14,101,0.99
Fusion Garden Strips,8,160,0.99
Premium Herb Nuggets,30,79,0.99
Spicy Oat Delight,23,494,0.99
Wholesome Cocoa Blend,16,305,0.99
Tangy Cocoa Soup,32,109,0.99
Smoked Chili Granola,29,180,0.99
Spicy Veggie Granola,22,251,0.99
Glazed Cocoa Protein Bar,28,428,0.99
Spicy Tomato Strips,28,136,0.99
Hearty Oat Nuggets,17,178,0.99
Hearty Pepper Energy Mix,11,161,0.99
Savory Honey Granola,13,350,0.99
Crispy Honey Blend,6,515,0.99
Hearty Nut Soup,37,526,0.99
Wholesome Beef Strips,36,450,0.99
Zesty Pepper Delight,39,427,0.99
Smoked Veggie Granola,28,600,0.99
Classic Protein Delight,24,351,0.99
Roasted Maple Crackers,28,229,0.99
Fusion Pepper Protein Bar,30,87,0.99
Wholesome Herb Stew,9,215,0.99
Tangy Pepper Mix,31,126,0.99
Zesty Peanut Strips,34,55,0.99
Fresh Peanut Wafers,26,302,0.99
Smoked Chicken Rice,37,442,0.99
Savory Herb Crackers,31,358,0.99
Zesty Maple Crumbles,23,242,0.99
Sweet Peanut Crunch,34,202,0.99
Fusion Chicken Granola,38,598,0.99
Organic Chili Energy Mix,14,168,0.99
Savory Cocoa Wafers,14,147,0.99
Golden Pepper Slices,38,113,0.99
Rustic Tomato Stew,34,87,0.99
Glazed Vanilla Wafers,37,597,0.99
Wholesome Garden Granola,9,234,0.99
Crispy Almond Blend,13,483,0.99
Wild Oat Nuggets,5,431,0.99
Tangy Vanilla Slices,2,437,0.99
Organic Almond Crackers,40,149,0.99
Wild Vanilla Wafers,33,353,0.99
Sweet Fruit Slices,33,117,0.99
Wholesome Chili Energy Mix,35,98,0.99
Crispy Almond Blend,23,431,0.99
Crispy Fruit Rice,5,572,0.99
Fresh Oat Chunks,19,492,0.99
Classic Almond Stew,36,418,0.99
Fresh Beef Soup,40,386,0.99
Rustic Garden Medley,26,408,0.99
Wild Beef Pasta,2,451,0.99
Hearty Fruit Delight,5,137,0.99
Zesty Vanilla Stew,35,348,0.99
Classic Grain Strips,23,108,0.99
Wholesome Veggie Mix,33,362,0.99
Fresh Fruit Stew,24,518,0.99
Savory Honey Nuggets,2,365,0.99
Spicy Almond Crunch,19,529,0.99
Hearty Almond Granola,3,408,0.99
Sweet Grain Crackers,38,205,0.99
Wild Maple Medley,38,477,0.99
Rustic Honey Crackers,17,524,0.99
Wild Peanut Pasta,37,320,0.99
Fusion Protein Pasta,39,491,0.99
Classic Beef Crunch,18,408,0.99
Fresh Beef Rice,11,103,0.99
Organic Veggie Crunch,7,261,0.99
Classic Grain Crackers,10,522,0.99
Classic Veggie Crackers,29,148,0.99
Wild Cocoa Stew,32,372,0.99
Rustic Almond Protein Bar,3,75,0.99
Golden Veggie Soup,28,312,0.99
Wild Tomato Crackers,4,255,0.99
Hearty Maple Crumbles,18,330,0.99
Fusion Maple Crunch,21,467,0.99
Sweet Herb Pasta,27,585,0.99
Savory Pepper Mix,31,116,0.99
Classic Chili Energy Mix,6,161,0.99
Premium Garden Rice,40,211,0.99
Rustic Grain Stew,6,412,0.99
Wild Nut Medley,17,196,0.99
Herbal Fruit Chunks,6,87,0.99
Premium Almond Blend,3,500,0.99
Herbal Protein Crumbles,19,161,0.99
Roasted Chicken Energy Mix,8,573,0.99
Hearty Chili Granola,30,52,0.99
Fresh Oat Crackers,6,588,0.99
Smoked Fruit Wafers,10,331,0.99
Roasted Herb Energy Mix,40,144,0.99
Fresh Pepper Strips,13,172,0.99
Spicy Chili Crumbles,15,466,0.99
Premium Pepper Granola,20,373,0.99
Roasted Chicken Granola,20,253,0.99
Herbal Fruit Stew,16,528,0.99
Golden Herb Protein Bar,12,566,0.99
Herbal Vanilla Crackers,14,228,0.99
Fusion Nut Medley,36,54,0.99
Fusion Peanut Delight,26,103,0.99
Premium Oat Strips,38,151,0.99
Wholesome Peanut Strips,23,161,0.99
Hearty Oat Protein Bar,39,590,0.99
Smoked Protein Strips,38,145,0.99
Roasted Herb Soup,36,564,0.99
Premium Grain Medley,6,350,0.99
Golden Beef Rice,9,543,0.99
Organic Garden Blend,11,437,0.99
Herbal Nut Protein Bar,37,395,0.99
Savory Honey Crumbles,22,107,0.99
Glazed Vanilla Bites,25,485,0.99
Roasted Chicken Wafers,38,569,0.99
Wild Veggie Blend,8,138,0.99
Roasted Herb Nuggets,29,105,0.99
Rustic Vanilla Protein Bar,13,575,0.99
Smoked Maple Crackers,14,374,0.99
Zesty Honey Chunks,20,152,0.99
Zesty Almond Chunks,40,97,0.99
Fusion Oat Chunks,39,386,0.99
Tangy Berry Pasta,27,243,0.99
Smoked Oat Crackers,17,64,0.99
Herbal Veggie Strips,23,378,0.99
Wholesome Chicken Delight,25,418,0.99
Organic Almond Protein Bar,26,451,0.99
Fresh Beef Blend,26,333,0.99
Sweet Tomato Crackers,36,576,0.99
Classic Cocoa Blend,17,377,0.99
Classic Fruit Mix,17,240,0.99
Spicy Protein Soup,25,531,0.99
Fusion Veggie Medley,25,580,0.99
Hearty Beef Soup,5,439,0.99
Golden Oat Granola,14,287,0.99
Smoked Vanilla Slices,1,366,0.99
Classic Fruit Mix,23,469,0.99
Fresh Chili Slices,5,381,0.99
Herbal Chili Crumbles,25,489,0.99
Glazed Tomato Energy Mix,17,521,0.99
Savory Berry Energy Mix,19,193,0.99
Crispy Veggie Strips,2,136,0.99
Glazed Chili Wafers,7,172,0.99
Smoked Peanut Nuggets,27,56,0.99
Golden Protein Crumbles,24,219,0.99
Fresh Maple Wafers,25,341,0.99
Hearty Garden Crunch,9,463,0.99
Fresh Maple Slices,31,69,0.99
Hearty Peanut Crunch,7,169,0.99
Classic Garden Blend,10,529,0.99
Premium Tomato Bites,23,222,0.99
Classic Almond Bites,9,275,0.99
Rustic Honey Medley,26,52,0.99
Roasted Pepper Delight,18,264,0.99
Rustic Berry Delight,3,79,0.99
Wild Vanilla Pasta,6,532,0.99
Spicy Honey Crumbles,21,268,0.99
Wild Cocoa Crunch,20,159,0.99
Smoked Vanilla Bites,11,146,0.99
Spicy Honey Nuggets,21,191,0.99
Herbal Nut Crackers,16,163,0.99
Sweet Peanut Crumbles,24,430,0.99
Organic Almond Crumbles,27,63,0.99
Spicy Peanut Crumbles,31,361,0.99
Glazed Tomato Slices,9,233,0.99
Tangy Nut Granola,40,499,0.99
Organic Grain Blend,25,455,0.99
Golden Tomato Delight,19,241,0.99
Crispy Vanilla Blend,4,461,0.99
Fusion Tomato Crunch,16,173,0.99
Zesty Peanut Soup,20,202,0.99
Wild Oat Crackers,9,173,0.99
Organic Chili Crunch,18,189,0.99
Spicy Oat Medley,22,540,0.99
Rustic Oat Slices,3,179,0.99
Crispy Fruit Crackers,5,50,0.99
Tangy Fruit Nuggets,14,513,0.99
Smoked Nut Protein Bar,3,126,0.99
Tangy Garden Soup,6,281,0.99
Wholesome Grain Wafers,31,279,0.99
Rustic Maple Strips,12,349,0.99
Wholesome Chicken Strips,26,250,0.99
Savory Grain Bites,24,398,0.99
Wholesome Beef Pasta,31,299,0.99
Spicy Vanilla Slices,40,567,0.99
Sweet Berry Nuggets,34,127,0.99
Wild Almond Protein Bar,33,214,0.99
Fusion Fruit Wafers,28,409,0.99
Savory Vanilla Soup,3,207,0.99
Sweet Pepper Crunch,6,479,0.99
Herbal Oat Blend,35,250,0.99
Zesty Protein Medley,18,580,0.99
Smoked Cocoa Energy Mix,27,479,0.99
Hearty Oat Blend,15,517,0.99
Savory Chicken Bites,18,435,0.99
Organic Cocoa Blend,9,544,0.99
Fusion Herb Energy Mix,5,120,0.99
Wholesome Chili Crumbles,6,344,0.99
Crispy Nut Stew,20,268,0.99
Tangy Cocoa Mix,14,207,0.99
Organic Tomato Granola,10,434,0.99
Wild Veggie Strips,39,146,0.99
Savory Pepper Wafers,5,76,0.99
Wild Cocoa Crumbles,29,50,0.99
Smoked Cocoa Chunks,32,526,0.99
Crispy Almond Strips,37,436,0.99
Roasted Chili Chunks,29,214,0.99
Spicy Peanut Crunch,30,317,0.99
Wild Cocoa Mix,16,207,0.99
Rustic Cocoa Strips,36,195,0.99
Premium Pepper Nuggets,5,111,0.99
Wild Peanut Wafers,13,541,0.99
Golden Vanilla Wafers,37,291,0.99
Spicy Herb Granola,14,172,0.99
Hearty Veggie Wafers,13,228,0.99
Herbal Fruit Granola,34,221,0.99
Wild Oat Pasta,33,555,0.99
Sweet Beef Bites,23,344,0.99
Fusion Vanilla Crunch,14,580,0.99
Classic Oat Soup,13,363,0.99
Hearty Chicken Nuggets,20,138,0.99
Roasted Protein Crackers,17,87,0.99
Spicy Protein Slices,9,375,0.99
Savory Tomato Granola,10,479,0.99
Crispy Garden Chunks,21,429,0.99
Crispy Beef Pasta,32,340,0.99
Herbal Maple Chunks,11,484,0.99
Spicy Pepper Rice,21,501,0.99
Roasted Peanut Crunch,17,238,0.99
Sweet Maple Wafers,38,338,0.99
Wholesome Tomato Chunks,15,347,0.99
Spicy Protein Chunks,38,232,0.99
Rustic Honey Protein Bar,31,423,0.99
Rustic Oat Bites,6,153,0.99
Crispy Grain Crunch,38,74,0.99
Tangy Peanut Mix,15,186,0.99
Golden Tomato Wafers,34,394,0.99
Fusion Cocoa Stew,38,426,0.99
Herbal Herb Energy Mix,36,228,0.99
Rustic Fruit Stew,26,522,0.99
Classic Maple Delight,9,585,0.99
Savory Oat Blend,9,318,0.99
Rustic Nut Energy Mix,3,530,0.99
Classic Chicken Blend,14,555,0.99
Organic Honey Mix,37,109,0.99
Wholesome Almond Medley,33,108,0.99
Roasted Veggie Wafers,17,463,0.99
Wholesome Oat Nuggets,18,498,0.99
Roasted Pepper Soup,16,508,0.99
Sweet Grain Energy Mix,32,180,0.99
Crispy Honey Granola,21,569,0.99
Premium Herb Nuggets,6,492,0.99
Fresh Chicken Medley,19,276,0.99
Hearty Vanilla Pasta,14,329,0.99
Herbal Grain Wafers,9,253,0.99
Rustic Berry Granola,39,424,0.99
Wild Pepper Stew,4,291,0.99
Crispy Oat Soup,10,272,0.99
Wholesome Grain Soup,8,253,0.99
Fresh Vanilla Stew,16,142,0.99
Hearty Vanilla Wafers,20,184,0.99
Golden Garden Medley,13,569,0.99
Rustic Herb Medley,11,529,0.99
Herbal Cocoa Granola,22,368,0.99
Zesty Peanut Pasta,13,189,0.99
Savory Vanilla Strips,5,189,0.99
Spicy Beef Delight,33,56,0.99
Hearty Cocoa Crumbles,24,101,0.99
Wholesome Peanut Medley,5,108,0.99
Fresh Oat Crackers,21,382,0.99
Crispy Maple Chunks,22,288,0.99
Wild Cocoa Nuggets,23,64,0.99
Glazed Grain Mix,12,520,0.99
Wild Protein Crackers,33,414,0.99
Roasted Oat Bites,2,238,0.99
Golden Pepper Chunks,5,159,0.99
Golden Nut Wafers,5,129,0.99
Classic Herb Delight,28,144,0.99
Fresh Protein Soup,10,596,0.99
Spicy Pepper Protein Bar,32,382,0.99
Rustic Maple Delight,28,524,0.99
Roasted Protein Wafers,10,290,0.99
Glazed Chili Nuggets,27,561,0.99
Premium Vanilla Nuggets,7,314,0.99
Organic Fruit Protein Bar,23,495,0.99
Golden Honey Wafers,12,427,0.99
Wild Maple Wafers,29,183,0.99
Classic Veggie Wafers,11,370,0.99
Roasted Chili Pasta,4,569,0.99
Hearty Tomato Slices,21,455,0.99
Wild Fruit Blend,29,539,0.99
Hearty Beef Nuggets,26,381,0.99
Savory Cocoa Crackers,38,424,0.99
Rustic Pepper Stew,37,591,0.99
Fusion Nut Pasta,7,406,0.99
Glazed Tomato Nuggets,16,239,0.99
Fusion Peanut Delight,28,86,0.99
Sweet Vanilla Rice,9,274,0.99
Wild Grain Chunks,29,318,0.99
Golden Tomato Energy Mix,6,83,0.99
Fusion Almond Granola,16,245,0.99
Golden Nut Bites,7,151,0.99
Roasted Pepper Delight,27,121,0.99
Fresh Pepper Rice,28,466,0.99
Rustic Almond Chunks,40,431,0.99
Sweet Pepper Wafers,22,115,0.99
Premium Herb Crackers,2,402,0.99
Golden Garden Bites,19,280,0.99
Fusion Vanilla Bites,10,495,0.99
Tangy Veggie Rice,11,314,0.99
Wild Honey Bites,26,278,0.99
Organic Honey Crackers,5,273,0.99
Spicy Almond Rice,25,395,0.99
Roasted Grain Energy Mix,33,203,0.99
Zesty Herb Nuggets,23,164,0.99
Spicy Cocoa Stew,12,526,0.99
Tangy Cocoa Energy Mix,32,87,0.99
Wild Honey Crunch,26,529,0.99
Herbal Honey Soup,32,270,0.99
Roasted Grain Blend,5,365,0.99
Zesty Nut Energy Mix,18,401,0.99
Golden Pepper Slices,30,562,0.99
Crispy Berry Bites,9,471,0.99
Smoked Oat Crackers,7,537,0.99
Herbal Oat Crumbles,2,143,0.99
Zesty Chili Chunks,21,425,0.99
Sweet Pepper Rice,12,255,0.99
Wild Beef Energy Mix,7,425,0.99
Zesty Nut Rice,13,318,0.99
Wild Cocoa Wafers,11,517,0.99
Wild Chicken Bites,37,81,0.99
Golden Berry Mix,8,599,0.99
Organic Almond Nuggets,21,556,0.99
Wild Chicken Chunks,40,182,0.99
Glazed Maple Strips,8,278,0.99
Fresh Almond Slices,29,145,0.99
Hearty Nut Delight,11,179,0.99
Zesty Garden Strips,35,469,0.99
Sweet Pepper Medley,17,413,0.99
Wholesome Fruit Nuggets,18,343,0.99
Hearty Veggie Crunch,2,393,0.99
Savory Pepper Medley,5,389,0.99
Sweet Chili Slices,14,524,0.99
Rustic Veggie Crackers,23,577,0.99
Hearty Veggie Nuggets,5,121,0.99
Rustic Garden Chunks,28,228,0.99
Fresh Veggie Wafers,13,458,0.99
Tangy Berry Crumbles,30,153,0.99
Fresh Berry Strips,13,454,0.99
Wholesome Maple Medley,38,499,0.99
Organic Pepper Rice,33,434,0.99
Roasted Pepper Rice,34,114,0.99
Classic Chili Bites,37,450,0.99
Rustic Fruit Bites,19,295,0.99
Wild Maple Stew,36,591,0.99
Spicy Fruit Wafers,11,113,0.99
Spicy Chicken Rice,5,312,0.99
Herbal Beef Stew,38,208,0.99
Zesty Pepper Energy Mix,28,191,0.99
Roasted Chicken Blend,26,201,0.99
Zesty Tomato Mix,33,441,0.99
Tangy Veggie Pasta,9,59,0.99
Tangy Fruit Protein Bar,23,538,0.99
Savory Maple Rice,33,204,0.99
Hearty Garden Mix,14,375,0.99
Golden Nut Protein Bar,16,512,0.99
Crispy Berry Protein Bar,16,81,0.99
Glazed Peanut Mix,18,343,0.99
Wholesome Cocoa Crackers,18,580,0.99
Classic Berry Protein Bar,15,546,0.99
Fresh Herb Slices,29,459,0.99
Zesty Herb Rice,19,364,0.99
Wholesome Vanilla Strips,35,314,0.99
Golden Fruit Mix,12,130,0.99
Roasted Chicken Strips,22,541,0.99
Smoked Tomato Granola,12,352,0.99
Organic Beef Stew,34,78,0.99
Roasted Herb Crunch,16,514,0.99
Crispy Grain Medley,24,329,0.99
Zesty Grain Crumbles,38,205,0.99
Wild Vanilla Crunch,5,252,0.99
Herbal Almond Energy Mix,36,409,0.99
Crispy Fruit Medley,13,148,0.99
Wholesome Pepper Protein Bar,6,264,0.99
Smoked Nut Mix,23,358,0.99
Fusion Cocoa Strips,31,230,0.99
Spicy Peanut Chunks,11,566,0.99
Rustic Vanilla Protein Bar,18,397,0.99
Wild Maple Bites,12,485,0.99
Wild Garden Soup,15,200,0.99
Spicy Veggie Rice,39,501,0.99
Smoked Cocoa Soup,10,360,0.99
Glazed Maple Crunch,25,376,0.99
Wholesome Beef Protein Bar,35,132,0.99
Hearty Fruit Soup,27,589,0.99
Wholesome Grain Slices,33,353,0.99
Savory Protein Strips,30,170,0.99
Organic Chili Medley,14,344,0.99
Fusion Cocoa Nuggets,10,437,0.99
Smoked Almond Crackers,5,273,0.99
Hearty Nut Energy Mix,16,553,0.99
Organic Grain Stew,13,97,0.99
Golden Garden Granola,11,76,0.99
Rustic Peanut Nuggets,5,137,0.99
Organic Peanut Soup,1,402,0.99
Spicy Veggie Crumbles,4,590,0.99
Sweet Nut Medley,2,208,0.99
Roasted Berry Chunks,28,266,0.99
Organic Herb Crumbles,34,163,0.99
Tangy Cocoa Crumbles,27,488,0.99
Wholesome Beef Granola,4,385,0.99
Crispy Almond Slices,36,329,0.99
Sweet Tomato Crunch,15,183,0.99
Golden Cocoa Mix,21,450,0.99
Golden Chili Crackers,40,212,0.99
Sweet Protein Crumbles,26,147,0.99
Savory Beef Chunks,20,353,0.99
Wholesome Fruit Wafers,15,576,0.99
Savory Cocoa Strips,15,130,0.99
Smoked Peanut Nuggets,2,355,0.99
Sweet Beef Slices,25,179,0.99
Sweet Peanut Strips,3,510,0.99
Golden Herb Blend,28,563,0.99
Herbal Veggie Strips,9,529,0.99
Savory Garden Rice,6,583,0.99
Tangy Protein Crunch,11,64,0.99
Fresh Beef Soup,36,387,0.99
Fusion Fruit Strips,23,335,0.99
Organic Grain Strips,18,562,0.99
Zesty Chicken Blend,3,153,0.99
Zesty Chili Chunks,7,286,0.99
Classic Herb Strips,35,413,0.99
Wild Tomato Blend,34,549,0.99
Zesty Peanut Blend,31,209,0.99
Tangy Herb Soup,36,68,0.99
Rustic Pepper Slices,36,292,0.99
Golden Honey Bites,3,201,0.99
Premium Veggie Soup,26,198,0.99
Golden Peanut Crumbles,17,73,0.99
Savory Vanilla Mix,37,122,0.99
Wild Tomato Delight,23,497,0.99
Herbal Veggie Rice,20,252,0.99
Classic Maple Granola,28,159,0.99
Golden Garden Soup,28,124,0.99
Tangy Grain Crunch,23,546,0.99
Roasted Oat Wafers,17,436,0.99
Fusion Almond Medley,29,356,0.99
Fresh Pepper Protein Bar,22,424,0.99
Zesty Cocoa Pasta,1,240,0.99
Spicy Chicken Medley,23,225,0.99
Premium Tomato Crackers,23,116,0.99
Smoked Oat Soup,2,512,0.99
Premium Oat Crackers,36,54,0.99
Herbal Garden Stew,13,466,0.99
Spicy Maple Blend,32,565,0.99
Premium Berry Nuggets,40,496,0.99
Spicy Protein Delight,3,359,0.99
Organic Tomato Blend,11,120,0.99
Rustic Grain Wafers,31,207,0.99
Hearty Maple Blend,31,266,0.99
Spicy Protein Crumbles,22,501,0.99
Hearty Cocoa Protein Bar,2,54,0.99
Sweet Protein Strips,13,77,0.99
Crispy Honey Slices,40,246,0.99
Organic Oat Crackers,22,422,0.99
